,title,bag_of_words
30641,Lock & Stock - Pazzi scatenati,action comedy crime uk guyritchie unexpected events loan sharks london triggers four friends botched card game series cash thugs growers two antique shotguns weed hard gangsters collide sake debt collectors 
10682,La sfida del samurai,action drama thriller japan akirakurosawa two criminal gangs town divided crafty ronin comes decides play free 
23391,Trappola di cristallo,action thriller usa johnmctiernan several others taken hostage nypd officer tries save wife los angeles nakatomi plaza german terrorists christmas party 
54624,Warrior,action drama sport usa gavino'connor father mixed martial arts tournament older brother alcoholic former boxer returns home trained competition path collision course youngest son puts estranged fighter 
52500,Shutter Island,mystery thriller usa martinscorsese u hospital marshal investigates criminally insane disappearance escaped 1954 murderer 
38188,A Beautiful Mind,biography drama usa ronhoward  
78720,Green Book,biography comedy drama usa china peterfarrelly driver tour class italian american bouncer becomes 1960s south venues classical pianist working african 
45139,V per Vendetta,"action drama sci-fi usa uk germany jamesmcteigue alias shadowy freedom fighter v "", plots help young woman future british tyranny overthrow known "
11191,La grande fuga,adventure drama history usa johnsturges war plan german camp world ii allied prisoners several hundred number escape 
43943,Rang De Basanti,comedy drama india rakeyshomprakashmehra assist freedom fighters past story film events lead long forgotten saga relive six young indians english woman documentary 
73816,"Tre manifesti a Ebbing, Missouri",comedy crime drama uk usa martinmcdonagh fail local authorities catch mother personally challenges daughter solve murder culprit 
5790,Il tesoro della Sierra Madre,adventure drama western usa mexico johnhuston sierra madre mountains mine work help gold two americans searching mexico convince old prospector 
28389,Heat - La sfida,crime drama thriller usa michaelmann unknowingly leave clue heat professional bank robbers start latest heist group feel police 
6149,Eva contro Eva,drama usa josephl.mankiewicz lives circle aging broadway star secretly ruthless ingã © nue insinuates theater friends seemingly timid 
21738,Ran,action drama war japan france akirakurosawa handing new medieval japan vastly underestimates cause turn found power three sons empire ... elderly warlord retires however corrupt 
19223,Toro scatenato,biography drama sport usa martinscorsese life boxer 
9848,A qualcuno piace caldo,comedy music romance usa billywilder complications set women mob hit state flee female band disguised two male musicians witness 
46069,Il labirinto del fauno,drama fantasy war mexico spain guillermodeltoro sadistic army officer escapes eerie falangist spain captivating fantasy world 1944 bookish young stepdaughter 
46565,Il petroliere,drama usa paulthomasanderson early days focusing story business oil family turn century prospector religion madness hatred 
50396,The Wolf of Wall Street,biography crime drama usa martinscorsese true story based 
28185,CasinÃ²,crime drama france usa martinscorsese two best friends tale greed fast living loving socialite murder occur gambling empire deception compete casino executive power money mafia enforcer 
54784,Il segreto dei suoi occhi,drama mystery romance argentina spain juanjosã©campanella still haunt one past unresolved homicide cases novel hoping unreciprocated love superior decades later retired legal counselor writes find closure 
6380,Rashomon,crime drama mystery japan akirakurosawa bandit woodcutter samurai husband rape ghost murder bride perspectives recalled 
41821,Memorie di un assassino,action crime drama southkorea bongjoonho two detectives struggle 1986 found raped multiple young women case murdered unknown culprit small korean province 
3135,Mr. Smith va a Washington,comedy drama usa frankcapra political corruption back plans promptly collide naive man united states senate vacancy appointed fill 
28380,L'odio,crime drama france mathieukassovitz lives french suburbs violent riot day 24 hours three young men 
21055,NausicaÃ¤ della valle del vento,animation adventure fantasy japan hayaomiyazaki dying planet destroying prevent two warring nations pacifist princess nausicaã ¤ desperately struggles warrior 
3053,Via col vento,drama history romance usa victorfleming georgecukor manipulative woman american civil war reconstruction periods turbulent romance roguish man conduct 
3462,Rebecca - La prima moglie,drama mystery romance usa alfredhitchcock self new role first wife aristocrat avoiding spectral presence intimidated conscious woman juggles adjusting 
7814,Fronte del porto,crime drama thriller usa eliakazan stand ex corrupt union bosses prize fighter turned longshoreman struggles 
65752,BÃ£hubali: The Beginning,action drama india s.s.rajamouli decades old feud daring man becomes involved adventurous ancient india two warring people 
28124,Prima dell'alba,drama romance usa austria switzerland richardlinklater know train unfortunately night together probably spending one evening woman meet young man vienna wind europe 
29119,Fargo,crime drama thriller usa uk joelcoen ethancoen bungling persistent police work quite pregnant marge gunderson jerry lundegaard inept crime falls apart due henchmen 
53464,Harry Potter e i Doni della Morte - Parte 2,adventure drama fantasy uk usa davidyates voldemort ron effort destroy final battle rages remaining horcruxes harry dark lord hermione search hogwarts 
23017,La storia fantastica,adventure family fantasy usa robreiner enemies grandfather reads reunited pirate home sick allies story true love young boy encounters numerous obstacles turned bed quest farmboy 
53500,Gran Torino,drama germany usa clinteastwood 1972 gran torino steal kowalski reform disgruntled korean war veteran walt sets hmong teenager prized possession thao lor tried neighbor 
43538,Hotel Rwanda,biography drama history uk southafrica italy terrygeorge paul rusesabagina africa hotel manager hutu militia houses rwanda struggle thousand tutsi refugees 
18626,Brian di Nazareth,comedy uk terryjones original christmas stable next door born 
63639,Grand Budapest Hotel,adventure comedy crime germany usa wesanderson tells early years serving class hotel exceptional concierge aging high glorious owner writer encounters lobby boy 
63568,L'amore bugiardo - Gone Girl,drama mystery thriller usa davidfincher suspected may intense media circus man sees wife focus innocent disappearance spotlight turned become 
26834,Nel nome del padre,biography drama ireland uk jimsheridan father coerced confession imprisonment man english lawyer fights well r bombing commit results free 
43928,Million Dollar Baby,drama sport usa clinteastwood determined woman works professional hardened boxing trainer become 
26864,Jurassic Park,action adventure sci-fi usa stevenspielberg couple cloned dinosaurs protecting pragmatic paleontologist visiting park power failure causes kids almost complete theme tasked run loose 
50910,Hachiko - Il tuo migliore amico,drama family uk usa lassehallstrã¶m abandoned dog home takes college professor bonds 
55664,Prisoners,crime drama mystery usa denisvilleneuve keller dover friend go missing daughter pressure mounts takes matters police pursue multiple leads hands 
